City,Country,Date,Lat,Long,Cloudiness,Humidity,Max Temp.,Wind Speed,Wind Direction
Tacuarembo,UY,1548740195,-31.73,-55.98,0,72,80.35,8.55,32.00
High Rock,BS,1548740196,26.63,-78.28,20,100,69.77,5.75,6.50
Siniscola,IT,1548739200,40.57,9.69,0,93,37.4,1.12,10.00
Filadelfia,PY,1548740197,-22.35,-60.04,48,87,75.26,13.47,140.00
Kasongo,CD,1548740197,-4.43,26.67,92,99,69.5,3.06,243.50
Itoman,JP,1548738000,26.12,127.67,75,52,68.9,10.29,338.50
Pontal,BR,1548738000,-21.02,-48.04,0,73,73.4,3.36,200.00
Trelew,AR,1548740199,-43.25,-65.31,20,29,72.52,10.67,25.00
Tonk,IN,1548740200,26.16,75.79,0,80,61.63,4.63,288.00
Goderich,CA,1548740200,43.74,-81.71,92,94,32.96,14.92,250.00
Dourbali,TD,1548740200,11.81,15.86,0,27,62.21,9.1,80.00
Westport,IE,1548740201,53.8,-9.52,76,100,39.8,15.48,303.50
Oda,JP,1548738000,35.19,132.5,75,52,44.6,1.12,157.00
General Roca,AR,1548738000,-39.03,-67.58,0,33,77.0,12.75,24.00
Tautira,PF,1548738000,-17.73,-149.15,75,78,78.8,19.46,64.50
Nanaimo,CA,1548738000,49.17,-123.94,75,86,37.4,4.97,102.50
Miraflores,CO,1548740203,5.2,-73.14,92,100,53.35,1.16,315.00
Zhanaozen,KZ,1548740208,43.35,52.85,88,98,35.12,13.58,60.00
Cayenne,GF,1548738000,4.94,-52.33,75,94,75.2,4.97,301.00
Lufilufi,WS,1548740209,-13.87,-171.6,92,100,84.17,7.43,70.00
Selfoss,IS,1548734400,63.94,-21.0,20,67,19.4,2.24,23.50
Poronaysk,RU,1548740209,49.22,143.1,0,73,12.17,2.62,30.00
Kuala Terengganu,MY,1548738000,5.33,103.14,75,70,86.0,6.93,35.50
Charkhi Dadri,IN,1548740210,28.59,76.27,0,69,62.21,7.43,156.00
Cukai,MY,1548738000,4.25,103.42,75,83,86.0,4.7,199.00
Mollendo,PE,1548740210,-17.03,-72.02,92,84,64.15,1.95,305.50
Lasa,CY,1548738000,34.92,32.53,75,87,50.0,6.93,346.50
Faanui,PF,1548740211,-16.48,-151.75,88,100,80.53,22.19,50.00
Novomykolayivka,UA,1548740211,48.54,32.26,88,100,34.4,14.36,191.50
Dandong,CN,1548740212,40.12,124.37,44,34,34.49,6.76,180.00
Merauke,ID,1548740212,-8.49,140.4,64,92,83.5,21.74,98.50
Saint-Joseph,FR,1548738000,43.56,6.97,0,52,39.2,4.7,60.50
Hithadhoo,MV,1548740213,-0.6,73.08,36,100,82.91,13.91,151.00
Geraldton,CA,1548738000,49.72,-86.95,20,67,-22.01,4.7,310.00
Ulaangom,MN,1548739951,49.98,92.07,0,56,-1.2,2.62,231.50
Whitehorse,CA,1548738000,60.72,-135.06,90,85,14.0,23.04,190.00
Pastos Bons,BR,1548740214,-6.6,-44.09,48,94,70.9,6.08,176.00
Umm Lajj,SA,1548740214,25.02,37.27,0,100,55.91,16.26,350.50
Borovichi,RU,1548740215,58.39,33.91,92,83,17.08,10.0,237.50
Hasaki,JP,1548738000,35.73,140.83,20,26,48.2,17.22,43.50
Chokurdakh,RU,1548740215,70.62,147.9,64,49,-29.55,15.7,156.00
Beihai,CN,1548738000,38.95,121.19,0,38,42.8,6.71,277.00
Rincon,US,1548738900,32.3,-81.24,1,87,46.4,5.75,310.00
Cidreira,BR,1548740216,-30.17,-50.22,0,89,75.13,3.18,140.00
Laguna,MX,1548740216,27.52,-110.01,80,76,53.57,2.06,105.00
Eyl,SO,1548740217,7.98,49.82,20,84,78.5,17.83,68.50
Druzhba,UA,1548740217,49.36,25.65,56,97,21.94,4.41,64.00
Tiksi,RU,1548740217,71.64,128.87,44,0,-37.33,3.06,330.00
Kitakami,JP,1548738000,39.29,141.1,40,55,39.2,11.41,218.00
Vardo,US,1548738900,39.62,-77.74,90,34,32.0,9.17,200.00
Chamba,IN,1548740218,32.56,76.12,0,52,41.29,1.28,108.00
Tamandare,BR,1548740218,-8.28,-70.75,64,93,75.89,4.18,190.00
Vestmannaeyjar,IS,1548740219,63.44,-20.27,0,100,25.85,13.47,10.00
Brigantine,US,1548738000,39.41,-74.36,1,77,24.08,3.36,360.00
Impfondo,CD,1548740219,1.62,18.06,48,94,74.05,3.51,250.00
Sur,OM,1548740220,22.57,59.53,24,100,71.17,6.76,179.00
Srednekolymsk,RU,1548740220,67.46,153.71,0,0,-36.39,2.39,270.00
Hamilton,BM,1548737700,32.3,-64.78,90,88,71.6,19.46,96.50
Dakar,SN,1548738000,14.69,-17.45,0,68,64.4,12.75,217.50
Muroto,JP,1548738000,33.37,134.14,20,27,51.8,18.34,71.00
Bereda,ES,1548738000,43.27,-7.54,40,93,50.0,8.05,120.00
Upernavik,GL,1548740221,72.79,-56.15,88,100,11.9,10.67,150.00
Aklavik,CA,1548738000,68.22,-135.01,90,78,10.4,3.36,130.00
Muli,IN,1548740222,22.62,71.45,0,28,70.99,9.22,270.00
Luderitz,,1548740222,-26.65,15.16,64,96,60.86,0.94,36.50
Kruisfontein,ZA,1548740222,-34.0,24.73,0,75,73.24,11.01,130.00
Hay River,CA,1548738000,60.82,-115.79,40,75,-20.21,5.82,42.00
Aksu,KZ,1548738000,52.04,76.93,0,83,-13.01,11.18,330.00
Broken Hill,AU,1548738000,-31.97,141.45,24,26,95.0,10.29,49.00
Antofagasta,CL,1548738000,-23.65,-70.4,75,64,73.4,2.24,150.00
Banda Aceh,ID,1548740224,5.56,95.32,80,96,78.73,2.73,44.00
Hovd,NO,1548739200,63.83,10.7,75,79,24.8,21.92,200.00
Tevaitoa,PF,1548740224,-16.78,-151.5,92,100,82.24,23.53,68.50
Pilot Butte,CA,1548738000,50.48,-104.42,5,57,-11.21,20.8,150.00
Salalah,OM,1548737400,17.01,54.1,40,65,77.0,2.24,329.00
Abu Zabad,SD,1548740225,12.35,29.25,0,27,69.95,11.68,198.00
Vila Velha,BR,1548738000,-3.71,-38.6,75,83,80.6,6.93,263.00
Wanxian,CN,1548740226,30.8,108.39,88,94,44.89,2.95,126.00
Saint-Augustin,FR,1548738000,44.83,-0.61,92,100,44.6,4.7,120.00
Tarauaca,BR,1548740228,-8.16,-70.77,64,93,75.89,4.18,75.50
Bayir,TR,1548739200,37.27,28.22,75,87,53.6,5.82,14.50
Saint-Ambroise,FR,1548738000,47.25,-0.65,90,93,37.4,6.93,14.00
Airai,TL,1548740229,-8.93,125.41,68,84,76.79,1.83,20.00
Sambava,MG,1548740229,-14.27,50.17,12,100,81.34,12.01,30.00
Gurupi,BR,1548740229,-11.73,-49.07,68,88,72.25,2.84,100.00
Miandrivazo,MG,1548740230,-19.53,45.46,12,94,77.2,3.62,45.00
Leningradskiy,RU,1548740230,69.38,178.42,20,86,-9.25,8.99,311.00
Borogontsy,RU,1548740230,62.67,131.17,44,41,-26.85,3.29,102.00
Tsabong,BW,1548740230,-26.02,22.4,0,52,78.82,18.28,170.00
Pozo Colorado,PY,1548740231,-23.49,-58.8,20,63,81.79,17.05,327.50
Riyadh,SA,1548738000,24.63,46.72,75,77,59.0,13.87,321.50
Esik,KZ,1548738000,43.36,77.47,75,85,14.0,4.47,70.50
Portland,US,1548737760,45.52,-122.67,75,45,46.94,18.34,10.00
Liwale,TZ,1548740232,-9.8,37.92,56,84,75.94,3.4,283.00
Mattru,SL,1548740233,7.62,-11.83,0,91,70.49,2.39,110.00
Opuwo,,1548740233,-18.06,13.84,0,62,59.42,1.95,169.00
Usatove,UA,1548738000,46.54,30.65,90,100,42.8,13.42,337.50
Rudnichnyy,RU,1548740234,59.7,60.29,92,74,10.01,2.62,82.00
Aksha,RU,1548740234,50.28,113.29,48,38,0.47,15.7,6.50
Praia da Vitoria,PT,1548738000,38.73,-27.07,75,87,55.4,2.62,354.50
Provideniya,RU,1548738000,64.42,-173.23,12,71,6.8,15.66,25.50
Pochutla,MX,1548740235,15.74,-96.47,12,100,78.19,10.67,201.00
Nikolskoye,RU,1548738000,59.7,30.79,0,84,6.8,11.18,80.50
Yarmolyntsi,UA,1548740236,49.19,26.84,48,90,31.79,9.78,100.00
Tandil,AR,1548740236,-37.33,-59.14,8,90,77.51,8.66,310.00
Batagay,RU,1548740236,67.65,134.64,24,0,-52.59,1.72,174.00
Kavaratti,IN,1548740237,10.57,72.64,0,100,80.8,4.97,71.50
Escanaba,US,1548738900,45.75,-87.06,75,84,-2.21,9.66,4.00
Maine-Soroa,NE,1548740237,13.21,12.02,0,37,58.48,7.09,92.00
Camapua,BR,1548740238,-19.53,-54.04,56,94,66.35,2.73,32.50
Karoi,ZW,1548740241,-16.82,29.68,20,75,70.4,8.21,329.00
Bosaso,SO,1548738000,11.28,49.18,40,83,75.2,5.82,30.00
Khani,GE,1548738000,41.96,42.96,90,100,44.6,4.7,40.00
Tonantins,BR,1548740242,-2.86,-67.77,0,94,76.39,2.39,320.00
San Rafael del Sur,NI,1548740242,11.85,-86.44,8,70,76.3,11.9,103.00
Yar-Sale,RU,1548740243,66.83,70.83,56,82,-8.53,10.22,339.50
Tutoia,BR,1548740243,-2.76,-42.27,32,93,76.7,8.99,210.00
Taltal,CL,1548740243,-25.41,-70.49,12,97,59.42,1.61,26.00
Manggar,ID,1548740243,-2.88,108.27,88,85,85.16,8.99,171.50
Nemuro,JP,1548738000,43.32,145.57,75,86,26.6,11.41,270.00
Avanigadda,IN,1548738000,16.02,80.92,20,69,77.0,5.82,140.00
Nuevitas,CU,1548737400,21.55,-77.27,75,100,64.4,6.93,245.50
Verkhnyaya Toyma,RU,1548740245,62.24,45.0,76,64,3.4,6.42,110.00
Jambi,ID,1548740246,-1.6,103.62,68,78,84.62,7.2,160.00
Walvis Bay,,1548738000,-22.95,14.51,75,88,62.6,3.36,100.50
Sompeta,IN,1548740246,18.93,84.6,0,63,76.39,5.08,338.00
Benguela,AO,1548740247,-12.58,13.4,88,100,76.93,2.39,340.00
Yining,CN,1548740247,29.04,114.56,44,69,55.55,1.5,90.00
Setermoen,NO,1548739200,68.86,18.35,75,71,5.0,23.04,5.00
Meulaboh,ID,1548740249,4.14,96.13,44,100,82.82,2.17,100.00
Mao,DO,1548738000,19.55,-71.08,20,100,73.4,4.7,348.50
Anjozorobe,MG,1548738000,-18.4,47.88,75,77,66.2,12.75,191.50
Illapel,CL,1548740250,-31.63,-71.17,0,96,58.39,1.72,271.50
Trinidad,UY,1548740251,-33.52,-56.9,44,77,80.75,9.44,136.50
Dickinson,US,1548737760,46.88,-102.79,1,62,1.94,19.46,170.00
Ilulissat,GL,1548737400,69.22,-51.1,20,72,14.0,8.05,34.50
Yerofey Pavlovich,RU,1548740252,53.97,121.97,56,57,4.52,5.64,317.50
Mount Isa,AU,1548738000,-20.73,139.49,40,55,89.6,10.29,60.00
Jumla,NP,1548740252,29.28,82.18,0,65,25.67,1.61,129.00
Fuyu,CN,1548740253,47.79,124.46,8,35,27.43,5.64,260.00
Erenhot,CN,1548740253,43.65,111.97,76,46,30.4,26.55,252.00
Alta Floresta,BR,1548740253,-9.87,-56.08,76,98,71.35,2.17,121.00
Berlevag,NO,1548737400,70.86,29.09,0,61,14.0,9.17,108.50
Kulhudhuffushi,MV,1548740254,6.62,73.07,8,99,82.64,9.78,210.00
Tay Ninh,VN,1548740254,11.3,106.1,12,61,87.86,7.2,339.50
Winnemucca,US,1548737760,40.97,-117.74,1,69,37.04,11.41,216.50
Kaeo,NZ,1548740255,-35.1,173.78,0,43,83.72,9.22,280.00
Marienburg,DE,1548739200,52.12,9.98,75,96,33.8,8.05,29.00
Deputatskiy,RU,1548740255,69.3,139.9,44,0,-35.94,3.29,63.50
Sovetskiy,RU,1548740256,56.76,48.47,0,58,-6.28,5.41,273.00
Palizada,MX,1548740256,18.25,-92.09,0,84,62.53,5.64,147.50
Penzance,GB,1548737400,50.12,-5.53,75,93,41.0,6.93,337.50
Gachala,CO,1548738000,4.69,-73.52,75,87,55.4,2.24,348.00
Le Port,FR,1548740257,42.87,1.37,8,92,19.37,1.83,30.00
Ayan,TR,1548740259,40.67,33.6,12,79,25.22,2.17,340.00
Padang,ID,1548738000,-0.92,100.36,20,66,87.8,5.82,227.00
Salekhard,RU,1548740260,66.54,66.62,48,31,-21.4,4.63,44.00
Turukhansk,RU,1548740260,65.8,87.96,0,0,-38.05,6.2,24.00
Sorata,BO,1548740261,-15.77,-68.65,92,99,54.92,1.28,150.00
Pacific Grove,US,1548738900,36.62,-121.92,1,86,57.2,1.05,103.50
Zhigansk,RU,1548740261,66.77,123.37,44,35,-23.43,2.62,300.00
Oranjemund,ZA,1548740261,-28.55,16.43,92,92,62.35,11.68,240.00
Marrakesh,MA,1548738000,31.63,-7.99,0,93,44.6,3.36,180.00
Lumberton,US,1548739140,30.27,-94.2,90,90,55.58,21.92,353.50
Goba,ET,1548740263,7.01,39.97,0,45,60.41,3.29,50.00
Sao Filipe,CV,1548740263,14.9,-24.5,92,90,73.6,16.04,97.50
Kaputa,ZM,1548740263,-8.47,29.66,36,90,70.27,1.5,300.50
Zatoka,PL,1548738000,50.04,20.52,75,100,26.6,1.12,227.00
Beloha,MG,1548740264,-25.17,45.06,68,51,79.76,16.37,30.00
Polyarnyy,RU,1548738000,69.2,33.45,0,70,-0.41,2.24,3.00
Touros,BR,1548738000,-5.2,-35.46,0,94,75.2,4.7,260.00
Luang Prabang,LA,1548738000,19.89,102.14,20,60,75.2,2.24,30.00
Altay,CN,1548740265,47.83,88.13,0,49,-2.19,1.95,300.00
Almaznyy,RU,1548738000,48.03,40.04,36,92,19.4,4.47,180.00
Maniitsoq,GL,1548740266,65.42,-52.9,56,100,16.63,9.22,63.00
Suntar,RU,1548740266,62.16,117.65,44,70,-10.06,5.19,60.00
Helong,CN,1548740267,25.94,116.13,0,56,69.19,3.51,340.00
Narsaq,GL,1548737400,60.91,-46.05,0,39,10.4,5.82,70.00
Amga,RU,1548740267,60.89,131.98,36,72,-16.86,3.06,360.00
Mount Gambier,AU,1548738000,-37.83,140.78,0,42,82.4,18.34,51.50
Ixtapa,MX,1548737040,20.71,-105.21,5,100,68.0,4.7,80.00
