,City,Country,Date,Lat,Long,Cloudiness,Humidity,Max Temp.,Wind Speed,Wind Direction
323,Gachala,CO,1548738000,4.69,-73.52,75,87,55.4,2.24,348.001
324,Le Port,FR,1548740257,42.87,1.37,8,92,19.37,1.83,30
325,Ayan,TR,1548740259,40.67,33.6,12,79,25.22,2.17,340
326,Padang,ID,1548738000,-0.92,100.36,20,66,87.8,5.82,227.001
327,Salekhard,RU,1548740260,66.54,66.62,48,31,-21.4,4.63,44.0011
328,Turukhansk,RU,1548740260,65.8,87.96,0,0,-38.05,6.2,24.0011
329,Sorata,BO,1548740261,-15.77,-68.65,92,99,54.92,1.28,150
330,Pacific Grove,US,1548738900,36.62,-121.92,1,86,57.2,1.05,103.501
331,Zhigansk,RU,1548740261,66.77,123.37,44,35,-23.43,2.62,300
332,Oranjemund,ZA,1548740261,-28.55,16.43,92,92,62.35,11.68,240
333,Marrakesh,MA,1548738000,31.63,-7.99,0,93,44.6,3.36,180
334,Lumberton,US,1548739140,30.27,-94.2,90,90,55.58,21.92,353.501
335,Goba,ET,1548740263,7.01,39.97,0,45,60.41,3.29,50
336,Sao Filipe,CV,1548740263,14.9,-24.5,92,90,73.6,16.04,97.5011
337,Kaputa,ZM,1548740263,-8.47,29.66,36,90,70.27,1.5,300.501
338,Zatoka,PL,1548738000,50.04,20.52,75,100,26.6,1.12,227.001
